Date,Count
2011/02/06,0.123
2011/02/07,0.0955
2011/02/08,0.0545
2011/02/09,0.205
2011/02/10,0.545
2011/02/11,0.6
2011/02/12,0.655
2011/02/13,0.382
2011/02/14,0.382
2011/02/15,0.395
2011/02/16,0.205
2011/02/17,0.368
2011/02/18,0.245
2011/02/19,0.259
2011/02/20,0.382
2011/02/21,0.573
2011/02/22,0.259
2011/02/23,0.259
2011/02/24,0.491
2011/02/25,0.355
2011/02/26,0.382
2011/02/27,0.218
2011/02/28,0.382
2011/03/01,0.232
2011/03/02,0.3
2011/03/03,0.368
2011/03/04,0.136
2011/03/05,0.136
2011/03/06,0.218
2011/03/07,0.177
2011/03/08,0.191
2011/03/09,0.355
2011/03/10,0.259
2011/03/11,0.177
2011/03/12,0.232
2011/03/13,0.355
2011/03/14,0.191
2011/03/15,0.15
2011/03/16,0.232
2011/03/17,0.355
2011/03/18,0.191
2011/03/19,0.218
2011/03/20,0.218
2011/03/21,0.532
2011/03/22,0.382
2011/03/23,1.364
2011/03/24,0.573
2011/03/25,0.491
2011/03/26,0.355
2011/03/27,0.464
2011/03/28,0.423
2011/03/29,0.355
2011/03/30,0.177
2011/03/31,0.123
2011/04/01,0.242
2011/04/02,0.328
2011/04/03,0.162
2011/04/04,0.403
2011/04/05,0.464
2011/04/06,0.416
2011/04/07,0.384
2011/04/08,0.323
2011/04/09,0.558
2011/04/10,0.183
2011/04/11,0.295
2011/04/12,0.41
2011/04/13,0.355
2011/04/14,0.316
2011/04/15,0.309
2011/04/16,0.751
2011/04/17,0.592
2011/04/18,0.497
2011/04/19,0.497
2011/04/20,0.451
2011/04/21,0.382
2011/04/22,0.396
2011/04/23,0.363
2011/04/24,0.445
2011/04/25,0.597
2011/04/26,0.633
2011/04/27,0.657
2011/04/28,0.725
2011/04/29,0.739
2011/04/30,0.981
2011/05/01,0.847
2011/05/02,0.741
2011/05/03,0.847
2011/05/04,0.636
2011/05/05,0.636
2011/05/06,0.53
2011/05/07,0.636
2011/05/08,1.165
2011/05/09,0.847
2011/05/10,0.953
2011/05/11,0.953
2011/05/12,1.165
2011/05/13,1.271
2011/05/14,1.271
2011/05/15,1.271
2011/05/16,4.661
2011/05/17,3.707
2011/05/18,2.542
2011/05/19,4.978
2011/05/20,4.237
2011/05/21,2.966
2011/05/22,2.33
2011/05/23,2.648
2011/05/24,2.436
2011/05/25,4.555
2011/05/26,2.224
2011/05/27,2.754
2011/05/28,1.907
2011/05/29,2.436
2011/05/30,2.542
2011/05/31,6.885
2011/06/01,5.508
2011/06/02,7.097
2011/06/03,6.461
2011/06/04,6.673
2011/06/05,5.826
2011/06/06,5.72
2011/06/07,4.661
2011/06/08,7.627
2011/06/09,7.309
2011/06/10,7.203
2011/06/11,9.321
2011/06/12,9.321
2011/06/13,7.203
2011/06/14,7.732
2011/06/15,10.592
2011/06/16,8.474
2011/06/17,7.309
2011/06/18,7.521
2011/06/19,7.627
2011/06/20,9.957
2011/06/21,7.521
2011/06/22,7.309
2011/06/23,5.826
2011/06/24,4.978
2011/06/25,4.237
2011/06/26,4.661
2011/06/27,4.555
2011/06/28,4.555
2011/06/29,3.919
2011/06/30,3.178
2011/07/01,3.394
2011/07/02,3.239
2011/07/03,3.281
2011/07/04,2.892
2011/07/05,3.41
2011/07/06,3.08
2011/07/07,4.652
2011/07/08,2.76
